PRODUCT NAME,D.N.,MRP
TROUSER,L28214,1595
TROUSER,L28214,1750
TROUSER,L28217,1595
TROUSER,L28217,1750
SLIM SHIRT,S27735,1795
SLIM SHIRT,S27738,1495
SLIM SHIRT,S27739,1795
SLIM SHIRT,S27732,1795
SLIM SHIRT,S27353,1795
SLIM SHIRT,S27378,1795
SLIM SHIRT,S27734,1795
SLIM SHIRT,S27997,1795
SLIM SHIRT,S27366,1795
SLIM SHIRT,S27956,1295
SLIM SHIRT,S27961,1295
SLIM SHIRT,S27959,1295
SLIM SHIRT,S27995,1795
SLIM SHIRT,S27958,1295
SLIM SHIRT,S27957,1295
SLIM SHIRT,S27963,1295
SLIM SHIRT,S27987,1795
LONG KURTA,K27218,2495
LONG KURTA,K27257,2495
LONG KURTA,K27236,2495
JACKET,J27320,1895
JACKET,J27692,1195
JACKET,J27691,1195
JACKET,J27725,1395
JACKET,J27726,1395
JACKET,J27727,1395
JEANS,A27932,1445
JEANS,A27932,1600
JEANS,B27932,1445
JEANS,B27932,1600
JEANS,E27853,1645
JEANS,F27853,1645
JEANS,B27933,1445
JEANS,B27933,1600
JEANS,A27934,1545
JEANS,A27934,1700
JACKET,J27229,1895
