PRODUCT NAME,D.N.,MRP
JEANS,O19710,1450
JEANS,N19710,1450
JEANS,A23013,1650
JEANS,B22937,1450
JEANS,B23013,1650
JEANS,D22935,1450
JEANS,S22935,1450
JEANS,A22937,1450
JEANS,D23583,1650
JEANS,D22932,1750
JEANS,D23010,1650
JEANS,S23010,1650
JACKET,J23899,995
JACKET,J23715,1045
JACKET,J23400,1595
JACKET,J18355,1595
JACKET,J23055,1795
JACKET,J23901,995
JACKET,J24868,1195
JACKET,J24867,1195
JACKET,J23713,1045
LONG KURTA,K23228,1995
LONG KURTA,K23225,1995
LONG KURTA,K23218,1795
LONG KURTA,K23085,1995
LONG KURTA,K23219,1795
LONG KURTA,K23079,1995
LONG KURTA,K23063,1995
LONG KURTA,K21149,1995
LONG KURTA,K19944,1995
SLIM SHIRT,S23211,2495
SLIM SHIRT,S23085,1795
SLIM SHIRT,S23063,1795
SLIM SHIRT,S23064,1895
SLIM SHIRT,S23079,1795
SLIM SHIRT,S23059,1895
SLIM SHIRT,S23060,1895
SLIM SHIRT,S23057,1895
SLIM SHIRT,P21139,1895
SLIM SHIRT,S23071,1895
