PRODUCT NAME,D.N.,MRP
FORMAL SHIRT,F17780,1695
FORMAL SHIRT,F25887,1695
SLIM SHIRT,S26175,1695
SLIM SHIRT,S26173,1695
SLIM SHIRT,S25487,1795
SLIM SHIRT,S26128,1695
SLIM SHIRT,S25381,1795
SLIM SHIRT,S25374,1795
LONG KURTA,K25879,1695
LONG KURTA,K25876,1695
LONG KURTA,K25880,1695
LONG KURTA,K25990,1195
LONG KURTA,K25985,1295
LONG KURTA,K25465,1995
LONG KURTA,K25461,1695
LONG KURTA,K19945,1995
LONG KURTA,K25456,1695
LONG KURTA,K26075,1795
LONG KURTA,K25986,1195
LONG KURTA,K26073,1795
LONG KURTA,K26076,1795
LONG KURTA,K25448,1795
LONG KURTA,K26071,1795
LONG KURTA,K25451,1795
LONG KURTA,K25379,1995
LONG KURTA,K25373,1995
LONG KURTA,K25459,1795
LONG KURTA,K25396,1995
JACKET,J26078,1495
JACKET,J26077,1495
JEANS,B23023,1650
JEANS,S23023,1650
JEANS,A23011,1350
JEANS,B23025,1650
TROUSER,L16043,1695
TROUSER,L16043,1850
