PRODUCT NAME,D.N.,MRP
FORMAL SHIRT,F29419,795
SLIM SHIRT,S28933,1595
SLIM SHIRT,S28917,1595
SLIM SHIRT,S27363,1495
SLIM SHIRT,S25235,1195
PAJAMA,P27104,495
SLIM SHIRT,S27309,1695
SALWAR,16335,395
SLIM SHIRT,S29419,795
SLIM SHIRT,S23099,1495
SLIM SHIRT,S13561,1495
LONG KURTA,k29420,895
LONG KURTA,K23099,1895
JACKET,J27233,1595
JACKET,J27745,895
JACKET,J27746,995
JACKET,J27744,895
JACKET,J28839,895
JACKET,J28837,895
JACKET,J28838,895
JEANS,B27936,1395
JEANS,B28324,1395
JEANS,C28343,1245
JEANS,A28324,1395
JEANS,A28340,1295
JEANS,B28282,1595
JEANS,A28282,1595
JEANS,A28281,1445
JEANS,B28281,1445
TROUSER PIECE,TP28893,1095
TROUSER PIECE,TP28894,1095
SHIRT PIECE,SP19119,1495
SHIRT PIECE,SP19042,1295
SHIRT PIECE,SP19120,1495
SHIRT PIECE,SP27366,1295
SHIRT PIECE,SP28898,1495
SHIRT PIECE,SP28899,1495
SHIRT PIECE,SP27357,1295
SHIRT PIECE,SP28523,2295
SHIRT PIECE,SP24248,1495
SHIRT PIECE,SP27949,1395
